COD. COLEGIO, REGIONAL, PROVINCIA, DISTRITO, CORREGIMIENTO, NOMBRE COLEGIO,ÁREA,PROGRAMAS, TIPO,total_passed,total_failed,total_deserted,pass_percent
6291,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,JOSÉ DOMINGO ESPINAR,COLEGIO BILINGÜE JESÚS DE PRAGA,URBANA,PRIMARIA UNIGRADO,PARTICULAR,178,0,0,1
6292,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,JOSÉ DOMINGO ESPINAR,CENTRO EDUCATIVO BELLAS LUCES,URBANA,PRIMARIA UNIGRADO,PARTICULAR,142,0,0,1
6293,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,JOSÉ DOMINGO ESPINAR,COLEGIO PUREZA DE MARÍA,URBANA,PRIMARIA UNIGRADO,PARTICULAR,465,0,2,0.995717345
6294,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,RUFINA ALFARO,PANAMERICAN SCHOOL,URBANA,PRIMARIA UNIGRADO,PARTICULAR,313,0,0,1
6295,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,JOSÉ DOMINGO ESPINAR,EL CRISOL BILINGUAL ELEMENTARY SCHOOL,URBANA,PRIMARIA UNIGRADO,PARTICULAR,12,0,5,0.705882353
6296,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,JOSÉ DOMINGO ESPINAR,COLEGIO BILINGÜE MARÍA OLIMPIA,URBANA,PRIMARIA UNIGRADO,PARTICULAR,68,0,0,1
6308,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,MATEO ITURRALDE,INSTITUTO JOHN DEWEY LEARNING,URBANA,PRIMARIA UNIGRADO,PARTICULAR,76,0,1,0.987012987
6310,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO FRÍAS,CENTRO EDUCATIVO BILINGÜE SALOMÓN,URBANA,PRIMARIA UNIGRADO,PARTICULAR,74,2,0,0.973684211
6311,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO FRÍAS,CENTRO EDUCATIVO BILINGÜE RAYITOS DE LUZ,URBANA,PRIMARIA UNIGRADO,PARTICULAR,176,0,0,1
6312,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO FRÍAS,MIRIAM Y. FRENCH,URBANA,PRIMARIA UNIGRADO,PARTICULAR,164,0,0,1
6313,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,BELISARIO PORRAS,MONTE DE SION BUEN PASTOR,URBANA,PRIMARIA UNIGRADO,PARTICULAR,180,3,0,0.983606557
6323,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,RUFINA ALFARO,ACADEMIA INTERAMERICANA DE PANAMÁ C. VIENTO,URBANA,PRIMARIA UNIGRADO,PARTICULAR,318,0,0,1
6324,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,RUFINA ALFARO,ESCUELA INTERNACIONAL DE PANAMÁ,URBANA,PRIMARIA UNIGRADO,PARTICULAR,510,0,0,1
6325,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,RUFINA ALFARO,SMART ACADEMY PANAMÁ,URBANA,PRIMARIA UNIGRADO,PARTICULAR,562,0,19,0.967297762
