year,CODIGO,NOMBRE,REGION,enrolled,passed,pass_rate
2020.0,4060.0,COLEGIO SAN FRANCISCO,CARTAGO,962,923,0.9594594594594594
2020.0,4121.0,LICEO DE CHOMES,PUNTARENAS,489,482,0.9856850715746421
2020.0,0.0,COLEGIO SANTA TERESA,ALAJUELA,127,127,1.0
2020.0,4065.0,COLEGIO ALEJANDRO QUESADA R.,CARTAGO,863,845,0.9791425260718424
2020.0,0.0,SAN MIGUEL ARCANGEL,DESAMPARADOS,312,312,1.0
2020.0,4122.0,LICEO DE CHIRA,PUNTARENAS,182,182,1.0
2020.0,0.0,PAN AMERICAN SCHOOL,SAN JOSE OESTE,170,170,1.0
2020.0,3973.0,EXPERIMENTAL BILINGUE LA TRINIDAD,SAN JOSE NORTE,603,602,0.9983416252072969
2020.0,0.0,INTERNACIONAL CANADIENSE,SAN JOSE CENTRAL,85,85,1.0
2020.0,0.0,BILINGÜE INTERNACIONAL,SAN JOSE OESTE,30,30,1.0
2020.0,0.0,CRISTIANA LIBERTAD,SAN JOSE NORTE,57,57,1.0
2020.0,4825.0,NOCTURNO BRAULIO CARRILLO COLINA,SAN JOSE NORTE,202,193,0.9554455445544554
2020.0,4824.0,NOCTURNO DE HATILLO,SAN JOSE CENTRAL,490,388,0.7918367346938775
2020.0,4837.0,NOCTURNO DESAMPARADOS,DESAMPARADOS,1115,950,0.852017937219731
2020.0,4888.0,NOCTURNO LA CUESTA,COTO,552,493,0.8931159420289855
2020.0,4822.0,NOCTURNO JOSE JOAQUIN JIMENEZ NUNEZ,SAN JOSE NORTE,818,609,0.7444987775061125
2020.0,4838.0,NOCTURNO DE PURISCAL,PURISCAL,310,275,0.8870967741935484
2020.0,4839.0,NOCTURNO DE CIUDAD COLON,PURISCAL,249,188,0.7550200803212851
2020.0,4840.0,NOCTURNO DE PEREZ ZELEDON,PEREZ ZELEDON,949,706,0.743940990516333
2020.0,4848.0,NOCTURNO DE PALMARES,OCCIDENTE,666,496,0.7447447447447447
2020.0,4842.0,NOCTURNO MIGUEL OBREGON LIZANO,ALAJUELA,1309,1127,0.8609625668449198
2020.0,4843.0,NOCTURNO DE GRECIA,ALAJUELA,598,413,0.6906354515050167
2020.0,4849.0,NOCTURNO JULIAN VOLIO LLORENTE,OCCIDENTE,657,585,0.8904109589041096
2020.0,4850.0,NOCTURNO DE NARANJO,OCCIDENTE,774,767,0.9909560723514211
2020.0,4853.0,NOCTURNO DE CARTAGO,CARTAGO,1678,1656,0.9868891537544696
2020.0,4855.0,NOCTURNO DE LA UNION,CARTAGO,954,887,0.929769392033543
2020.0,4859.0,NOCTURNO PBRO. ENRIQUE MENZEL,TURRIALBA,628,590,0.9394904458598726
2020.0,4860.0,NOCTURNO ALFREDO GONZÁLEZ FLORES,HEREDIA,1166,583,0.5
2020.0,4861.0,NOCTURNO HERMAN LOPEZ HERNANDEZ,HEREDIA,368,314,0.8532608695652174
2020.0,4862.0,NOCTURNO DE RIO FRIO,SARAPIQUI,848,820,0.9669811320754716
2020.0,4869.0,NOCTURNO DE LIBERIA,LIBERIA,746,436,0.5844504021447721
2020.0,4871.0,NOCTURNO DE NICOYA,NICOYA,252,233,0.9246031746031746
2020.0,4872.0,NOCTURNO DE SANTA CRUZ,SANTA CRUZ,228,228,1.0
2020.0,4875.0,NOCTURNO JUAN SANTAMARIA,CAÑAS,518,473,0.9131274131274131
2020.0,0.0,NOCTURNO CALASANZ,SAN JOSE NORTE,77,75,0.974025974025974
2020.0,4877.0,NOCTURNO JOSE MARTI,PUNTARENAS,236,230,0.9745762711864406
2020.0,4878.0,NOCTURNO DE ESPARZA,PUNTARENAS,250,247,0.988
2020.0,4131.0,LICEO DE MATINA,LIMON,444,444,1.0
2020.0,4124.0,LICEO PACIFICO SUR,GRANDE DE TERRABA,775,769,0.9922580645161291
2020.0,3972.0,LICEO MARIA AUXILIADORA,SAN JOSE OESTE,629,629,1.0
2020.0,4882.0,NOCTURNO DE GOLFITO,COTO,243,211,0.8683127572016461
2020.0,4129.0,LICEO SIXAOLA,LIMON,192,192,1.0
2020.0,4881.0,NOCTURNO DE CIUDAD NEILY,COTO,715,715,1.0
2020.0,4889.0,NOCTURNO DE LIMON,LIMON,913,891,0.9759036144578314
2020.0,4128.0,LICEO RIO BANANO,LIMON,345,345,1.0
2020.0,4225.0,COLEGIO DEPORTIVO DE LIMON,LIMON,308,308,1.0
2020.0,4893.0,NOCTURNO DE POCOCÍ,GUAPILES,900,617,0.6855555555555556
2020.0,0.0,DEL VALLE,PEREZ ZELEDON,99,99,1.0
2020.0,4883.0,NOCTURNO DE SAN VITO,COTO,515,515,1.0
2020.0,4127.0,EXPERIMENTAL BILINGÜE DE AGUA BUENA,COTO,599,599,1.0
2020.0,4096.0,COLEGIO FELIPE PÉREZ PEREZ,LIBERIA,701,432,0.6162624821683309
2020.0,0.0,COLEGIO ENRIQUE MALAVASSI VARGAS,SAN JOSE NORTE,115,115,1.0
2020.0,4142.0,EXPERIMENTAL BILINGÜE DE POCOCÍ,GUAPILES,717,717,1.0
2020.0,0.0,CIENTIFICO DE COSTA RICA DE SAN CARLOS -TEC-,SAN CARLOS,50,50,1.0
