AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,pass_percent,,,,,
2020,127,9,LICEO MARIA AUXILIADORA,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,1,110,2,0.984051037,,,,,
2020,127,9,LICEO MARIA AUXILIADORA,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,1,310,5,0.980707395,,,,,
2020,129,5,LICEO SUPERIOR GABRIELA MISTRAL,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,1,110,2,0.942307692,,,,,
2020,129,5,LICEO SUPERIOR GABRIELA MISTRAL,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,1,310,5,0.975903614,,,,,
2020,130,9,COLEGIO NORTH COLLEGE,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,1,110,2,0.964664311,,,,,
2020,130,9,COLEGIO NORTH COLLEGE,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,1,310,5,0.974137931,,,,,
2020,131,7,COLEGIO ESCASCE,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,1,110,2,0.928838951,,,,,
2020,131,7,COLEGIO ESCASCE,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,1,310,5,0.992125984,,,,,
2020,132,5,COLEGIO BAJO MOLLE,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,1,110,2,0.985941893,,,,,
2020,132,5,COLEGIO BAJO MOLLE,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,1,310,5,0.973262032,,,,,
2020,133,3,COLEGIO ADVENTISTA DE IQUIQUE,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,1,110,2,0.990118577,,,,,
2020,133,3,COLEGIO ADVENTISTA DE IQUIQUE,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,1,310,5,0.988764045,,,,,
2020,134,1,LICEO ATENEA,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,1,110,2,0.975806452,,,,,
2020,134,1,LICEO ATENEA,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,1,310,5,0.904347826,,,,,
2020,144,9,COLEGIO IQUIQUE YOUNG SCHOOL,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,1,110,2,0.951219512,,,,,
2020,144,9,COLEGIO IQUIQUE YOUNG SCHOOL,1,TPCA,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,1,310,5,0.944055944,,,,,
2020,154,6,ESCUELA BASICA FRONTERIZA,1,TPCA,14,1404,HUARA,11,IQUIQUE,2,1,1,1,110,2,0.916666667,,,,,
2020,156,2,ESCUELA PISAGUA,1,TPCA,14,1404,HUARA,11,IQUIQUE,2,1,1,1,110,2,0.966666667,,,,,
2020,158,9,ESCUELA CHIAPA,1,TPCA,14,1404,HUARA,11,IQUIQUE,2,1,1,1,110,2,1,,,,,
2020,159,7,ESCUELA JAINA,1,TPCA,14,1404,HUARA,11,IQUIQUE,2,1,1,1,110,2,0.75,,,,,
2020,160,0,ESCUELA PACHICA,1,TPCA,14,1404,HUARA,11,IQUIQUE,2,1,1,1,110,2,1,,,,,
2020,161,9,LICEO DE HUARA,1,TPCA,14,1404,HUARA,11,IQUIQUE,2,1,1,1,110,2,0.974874372,,,,,
2020,161,9,LICEO DE HUARA,1,TPCA,14,1404,HUARA,11,IQUIQUE,2,1,1,1,165,3,1,,,,,
2020,161,9,LICEO DE HUARA,1,TPCA,14,1404,HUARA,11,IQUIQUE,2,1,1,1,310,5,0.983333333,,,,,
2020,161,9,LICEO DE HUARA,1,TPCA,14,1404,HUARA,11,IQUIQUE,2,1,1,1,363,6,1,,,,,
2020,161,9,LICEO DE HUARA,1,TPCA,14,1404,HUARA,11,IQUIQUE,2,1,1,1,410,7,0.935483871,,,,,
